epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.012,1.21018,4.64338,1.03621,0.00172,0.00455,0.00173,0.00086,1.00586,4.10208,0.84582,0.00010008,0.00010008,0.00010008
2,14.4493,1.0692,3.78525,0.99741,0.03522,0.70333,0.06647,0.04731,0.99981,3.77554,0.88073,0.000202981,0.000202981,0.000202981
3,19.0979,1.03389,3.30584,1.00871,0.03795,0.95021,0.07584,0.05435,0.96518,3.37081,0.91345,0.000304507,0.000304507,0.000304507
4,25.7044,1.03777,3.20148,0.99173,0.03544,0.99286,0.0846,0.06339,0.94289,3.00035,0.9273,0.000404656,0.000404656,0.000404656
5,30.0581,1.02467,3.06294,0.98409,0.02556,1,0.09148,0.0687,0.93449,2.69164,0.93189,0.000405991,0.000405991,0.000405991
6,34.342,1.01078,3.03848,0.9918,0.05562,0.70074,0.1013,0.07568,0.93612,2.50981,0.95368,0.000403239,0.000403239,0.000403239
7,39.2479,0.97893,2.93922,0.97297,0.1156,0.5551,0.11377,0.08507,0.95796,2.38637,0.94936,0.000400487,0.000400487,0.000400487
8,44.2001,0.98483,2.91913,0.97139,0.05582,0.36723,0.10422,0.07755,0.91833,2.3969,0.95638,0.000397735,0.000397735,0.000397735
9,48.5305,0.97866,2.90033,0.97296,0.06455,0.56047,0.11307,0.08298,0.90321,2.33001,0.92965,0.000394982,0.000394982,0.000394982
10,52.7647,0.93753,2.83804,0.96024,0.05317,0.58871,0.12018,0.08979,0.91469,2.31802,0.94336,0.00039223,0.00039223,0.00039223
11,59.1772,0.98383,2.80122,0.97878,0.11027,0.48637,0.13343,0.10378,0.93366,2.32045,0.94927,0.000389478,0.000389478,0.000389478
12,64.113,0.95375,2.77926,0.95374,0.06076,0.58493,0.1072,0.08204,0.94887,2.33559,0.96099,0.000386726,0.000386726,0.000386726
13,68.3877,0.95371,2.73545,0.9607,0.07012,0.70216,0.10559,0.08094,0.9116,2.35033,0.93024,0.000383974,0.000383974,0.000383974
14,72.6495,0.93624,2.7605,0.95308,0.06967,0.40771,0.12233,0.09224,0.90346,2.27858,0.92111,0.000381221,0.000381221,0.000381221
15,76.7224,0.93173,2.71384,0.95673,0.06864,0.40811,0.14679,0.11027,0.93324,2.29312,0.95139,0.000378469,0.000378469,0.000378469
16,81.2003,0.93353,2.71476,0.96125,0.04185,1,0.1592,0.12201,0.91819,2.33689,0.95187,0.000375717,0.000375717,0.000375717
17,85.727,0.94671,2.6676,0.94784,0.12928,0.42164,0.15865,0.12404,0.93667,2.24541,0.94798,0.000372965,0.000372965,0.000372965
18,92.474,0.92608,2.65138,0.95316,0.10874,0.34435,0.15036,0.11533,0.90269,2.21717,0.93129,0.000370213,0.000370213,0.000370213
19,96.8346,0.91923,2.65014,0.95585,0.08471,0.35897,0.16491,0.12494,0.92993,2.22862,0.93275,0.00036746,0.00036746,0.00036746
20,100.978,0.93951,2.60354,0.95932,0.16215,0.22882,0.17092,0.13323,0.8729,2.22344,0.92237,0.000364708,0.000364708,0.000364708
21,104.749,0.93288,2.61537,0.9589,0.11064,0.37514,0.16236,0.12477,0.92592,2.2195,0.94594,0.000361956,0.000361956,0.000361956
22,108.888,0.89568,2.56599,0.95126,0.11271,0.27893,0.18798,0.15026,0.87753,2.16665,0.93608,0.000359204,0.000359204,0.000359204
23,113.973,0.92536,2.55358,0.95321,0.12827,0.40774,0.17871,0.14098,0.91072,2.15135,0.93444,0.000356452,0.000356452,0.000356452
24,118.564,0.9077,2.52272,0.94725,0.17358,0.36418,0.20212,0.15672,0.91937,2.17859,0.94747,0.000353699,0.000353699,0.000353699
25,123.113,0.91151,2.50841,0.94417,0.16168,0.3972,0.21517,0.16476,0.89864,2.11088,0.93882,0.000350947,0.000350947,0.000350947
